PING;1;de;Tischtennis (Gratis);;;1
CENF;2;de;Kinderclub;Kinder werden für Sport, Spiel und Spaß von unseren Animateuren im Kinderclub der Campinganlage empfangen.;Kinder, Spiel, Schatzsuche, Sport, Club;1
PETG;3;de;Boule-Spiel (Gratis);;;1
CADO;4;de;Teenagerclub;Teenager werden für Sport und Spiel von unseren Animateuren im Club empfangen.;Teenager, Animation, Sport, Spiel, Unterhaltung;1
TEMU;5;de;Multisportanlage;Eine Multisportanlage steht für eine Vielzahl an Sportaktivitäten zur Verfügung (Fußball, Basketball, Handball und Volleyball);Sport, Basketball, Fußball, Handball, Volleyball;1
SAMU;6;de;Fitness-Center;Bleiben Sie in Form und nutzen Sie unser Fitness-Center;Center, Sport, Fitness, Wellness;1
DISC;7;de;Discothek in der Nähe;In der naheliegenden Diskothek können Sie bis in die frühen Morgenstunden tanzen!;Diskothek, Tanzen, Abend, Animation;1
MIGO;8;de;Minigolf in der Nähe;Genießen Sie eine Partie Minigolf mit Freunden oder Familie und lüften Sie das Geheimnis von Hindernissen und Saltos!;Minigolf, Bahn, Spiel, Famille, Freunde;1
TENN;9;de;Tennis in der Nähe;Genießen Sie Ihre Ferien unter dem Motto „Sport“ und nutzen Sie die naheliegenden Tennisplätze;Tennis, Racket, Ball;1
GOLF;10;de;Golf in der Nähe;Ein Golfplatz für Anfänger und Fortgeschrittene … und für außergewöhnliche Ferien;Golf, Green, Parcours, 9-Loch, 18-Loch, Club, Tee;1
EQUI;11;de;Reiten in der Nähe;Ausritte zu Pferd oder Pony … Nutzen Sie die naheliegende Reitanlage für Ihre Ferien;Reiten, Pferd, Pony, Wandern, Reitanlage;1
PECH;12;de;Fischen in der Nähe;Wattfischen, Teich- oder Flussangeln … entspannen Sie!;Fischen, Fisch, Angelrute, Reuse, Schalentiere, Süsswasser, Meerwasser, Fluss, See;1
