1;de;Aufenthalt für 3-4 Nächte in der Hochsaison möglich;Genießen Sie einen Kurzaufenthalt auch im Juli oder August!;Kurzaufenthalt, Juli, August, günstig, Hochsaison
1;en;Séjour 3/4 nuits possible en haute saison;;
1;fr;Séjour 3/4 nuits possible en haute saison;A vous les courts séjours, même en juillet et août, profitez-en !;court séjour, juillet, aout, pas cher, haute saison
1;nl;Séjour 3/4 nuits possible en haute saison;;
2;de;WLAN;Dieser Campingplatz bietet einen WLAN-Zugang;WLAN, Internet, Anschluss
2;en;Wifi;;
2;fr;Wifi;Accèdez au wifi sur ce camping;wifi, internet, connexion
2;nl;Wifi;;
3;de;Hunde erlaubt;Auf diesem Campingplatz ist Ihr Hund herzlich willkommen;Hund, bester Freund des Menschen
3;en;Chiens autorisés;;
3;fr;Chiens autorisés;Votre chien est le bienvenu sur ce camping;chien, meilleur ami de l'homme
3;nl;Chiens autorisés;;
4;de;Kleiner Supermarkt;;
4;en;Dépannage alimentation;;
4;fr;Dépannage alimentation;;
4;nl;Dépannage alimentation;;
5;de;Fahrradverleih;Entdecken Sie die ungewöhnlichsten Landschaften mit dem Fahrrad … und genießen Sie einen tollen sportlichen Urlaub!;Fahrräder, Moutainbike, Trekkingbike, Fahrradwege, Wandern
5;en;Location de vélos;;
5;fr;Location de vélos;Partez à l'assaut des paysages les plus insolites en vélo, pour des vacances sportives !;vélos, VTT, VTC, pistes cyclables, randonnée
5;nl;Location de vélos;;
6;de;Bar mit TV;;
6;en;TV au bar;;
6;fr;TV au bar;;
6;nl;TV au bar;;
7;de;Shuttlebus zum Strand (gratis);Nutzen Sie den kostenlosen Shuttlebus zum Strand;Shuttlebus, Strand, Bus, Auto
7;en;Navette plage (gratuite);;
7;fr;Navette plage (gratuite);Profitez de la navette gratuite qui vous emmènera jusqu'à la plage;navette, plage, bus, car
7;nl;Navette plage (gratuite);;
8;de;Shuttlebus zum Strand (gegen Gebühr);Nutzen Sie den Shuttlebus zum Strand;Shuttlebus, Strand, Bus, Auto
8;en;Navette plage (payante);;
8;fr;Navette plage (payante);Profitez de la navette qui vous emmènera jusqu'à la plage;navette, plage, bus, car
8;nl;Navette plage (payante);;
9;de;Bar;Schlürfen Sie Ihren Cocktail zusammen mit Freunden oder Familie;Bar, Cocktail, etwas trinken, Freunde, Aperitif
9;en;Bar;;
9;fr;Bar;Retrouvez vous en famille ou entre amis autour d'un cocktail;bar, cocktail, boire un verre, amis, apéro
9;nl;Bar;;
10;de;Snack-Bar;Heute Abend bleibt die Küche kalt, und die ganze Familie trifft sich an der Snack-Bar;Snack-Bar, Schnellrestaurant, Speisen zum Mitnehmen, Hamburger, Pommes Frites
10;en;Snack;;
10;fr;Snack;Ne faites pas à manger, ce soir c'est direction le snack pour toute la famille;snack, restauration rapide, plats à emporter, hamburger, frites
10;nl;Snack;;
11;de;.;;
11;en;.;;
11;fr;.;;
11;nl;.;;
12;de;Speisen zum Mitnehmen;Kümmern Sie sich doch mal um nichts, und nutzen Sie unsere Speisen zum Mitnehmen und unser Schnellrestaurant;Restaurant, Snack-Bar, Speisen zum Mitnehmen, kleines Restaurant
12;en;Restauration à emporter;;
12;fr;Restauration à emporter;Ne pensez à rien, profitez des plats à emporter et de la restauration rapide;restaurant, snack, plats à emporter, petite restauration
12;nl;Restauration à emporter;;
13;de;Restaurant;Restaurant gefällig? Genießen Sie ein ruhiges Mittagessen oder ein animiertes Abendessen in unserem Camping-Restaurant;Restaurant, Mahlzeit, Formel, Abendessen, Mittagessen, Souper, Frühstück
13;en;Restaurant;;
13;fr;Restaurant;Un petit resto ? Profitez du restaurant du camping pour un déjeuner calme ou un diner animé;restaurant, repas, formule, diner, déjeuner, souper, petit déjeuner
13;nl;Restaurant;;
