1;de;Direkter Zugang zum Meer;Ferien mit der Familie oder Freunden am Meer – auf zum Strand!;direkt am Strand, Meer, Strand, Küste, Ozean, Mittelmeer, Atlantik, Sandburgen
1;en;Accès direct à la plage;;
1;fr;Accès direct à la plage;des vacances à la mer, en famille ou entre amis, direction la plage;pieds dans l'eau, mer, plage, littoral, océan, méditerranée, atlantique, chateaux de sable
1;nl;Accès direct à la plage;;
2;de;See, Fluss oder Gewässer in der Nähe;;
2;en;Lac, rivière ou plan d'eau à proximité;;
2;fr;Lac, rivière ou plan d'eau à proximité;;
2;nl;Lac, rivière ou plan d'eau à proximité;;
3;de;Auf dem Land;Genießen Sie Ihren Landurlaub in der Natur;Land, grün, Natur, Umgebungswechsel
3;en;A la campagne;;
3;fr;A la campagne;Profitez du dépaysement de la campagne et passez des vacances en pleine nature;campagne, vert, nature, dépaysement
3;nl;A la campagne;;
4;de;Entfernung zur Küste < 10 km;Ferien mit der Familie oder Freunden am Meer – auf zum Strand!;Meer, Strand, Küste, Ozean, Mittelmeer, Atlantik, Sandburgen
4;en;En rétro littoral <10km;;
4;fr;En rétro littoral <10km;Des vacances à la mer, en famille ou entre amis, direction la plage;mer, plage, littoral, océan, méditerranée, atlantique, chateaux de sable
4;nl;En rétro littoral <10km;;
5;de;Entfernung zum Meer < 5 km;;
5;en;Accès mer <5km;;
5;fr;Accès mer <5km;;
5;nl;Accès mer <5km;;
6;de;Entfernung zum Meer < 2 km;Ferien mit der Familie oder Freunden am Meer – auf zum Strand!;Meer, Strand, Küste, Ozean, Mittelmeer, Atlantik, Sandburgen
6;en;En bord de mer <2km;;
6;fr;En bord de mer <2km;des vacances à la mer, en famille ou entre amis, direction la plage;mer, plage, littoral, océan, méditerranée, atlantique, chateaux de sable
6;nl;En bord de mer <2km;;
7;de;In den Bergen;Tanken Sie neue Energie in den Bergen, mit Wandern, Rafting, Laufen oder Mountainbiken;Berge, Wandern, Fahrrad, Laufen, Fernwandern, Vulkane, Rafting
7;en;A la montagne;;
7;fr;A la montagne;Ressourcez-vous en montagne : randonnées, rafting, marche à pied ou VTT;montagne, randonnée, vélo, marche à pied, GR, volcans, rafting
7;nl;A la montagne;;
8;de;Am See;Genießen Sie die friedliche Ruhe am See, um sich zu entspannen und neue Sportaktivitäten zu entdecken;See, Angeln, Seeufer, Wandern, Segeln, Windsurfen, Tretboot
8;en;Au bord d'un lac;;
8;fr;Au bord d'un lac;Profitez du calme paisible des lacs pour vous détendre et découvrir de nouvelles activités sportives;lac, pêche, plage de lac, randonnée, voile, planche à voile, pédalo
8;nl;Au bord d'un lac;;
9;de;Am Fluss;Der Fluss und sein Reichtum erwarten Sie und bieten Ihnen Möglichkeiten zum Wassersport, Wandern u. v. m.;Fluss, Wandern, Canyoning, Rafting
9;en;Au bord d'une rivière;;
9;fr;Au bord d'une rivière;La rivière et ses richesses vous attendent : sports nautiques, randonnées…;rivière, randonnée, canyoning, rafting
9;nl;Au bord d'une rivière;;
